File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,2130,1648,1242,383,390,47,92,391,22,160
D:\download\tavolinux-1-5-05-p00\client\frm_bis.cpp,271,162,130,19,77,0,32,146,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_clienti.cpp,177,112,78,11,42,0,23,135,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_cm.cpp,1695,1165,835,235,326,33,204,754,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_cm_listini.cpp,341,214,152,33,83,3,44,184,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_cm_proprieta.cpp,117,62,38,0,30,0,25,137,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_comanda.cpp,900,631,451,126,191,11,78,341,21,143
D:\download\tavolinux-1-5-05-p00\client\frm_comcon.cpp,1084,702,544,176,243,19,139,744,24,157
D:\download\tavolinux-1-5-05-p00\client\frm_conto.cpp,1199,852,644,202,263,7,84,356,24,157
D:\download\tavolinux-1-5-05-p00\client\frm_main.cpp,2647,2088,1492,417,482,32,77,330,24,180
D:\download\tavolinux-1-5-05-p00\client\frm_sale.cpp,685,477,375,70,148,1,60,254,21,133
D:\download\tavolinux-1-5-05-p00\client\frm_scelta.cpp,687,513,366,97,134,3,40,225,20,132
D:\download\tavolinux-1-5-05-p00\client\main.cpp,672,483,308,75,119,3,70,365,20,132
D:\download\tavolinux-1-5-05-p00\client\tr.cpp,572,355,280,87,111,7,106,421,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_big_ctrls.cpp,3237,2391,1828,482,625,71,221,666,23,135
D:\download\tavolinux-1-5-05-p00\client\tr_comanda.cpp,1218,861,672,186,229,11,128,594,21,133
D:\download\tavolinux-1-5-05-p00\client\tr_config.cpp,463,292,257,36,111,2,60,302,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_controls.cpp,1636,1134,858,224,300,27,202,1030,22,146
D:\download\tavolinux-1-5-05-p00\client\tr_display.cpp,482,310,157,40,107,4,65,307,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_forms.cpp,750,440,356,54,181,15,129,604,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_forms_text.cpp,272,249,248,0,3,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_globals.cpp,197,142,74,9,25,1,30,200,21,134
D:\download\tavolinux-1-5-05-p00\client\tr_mem_chk.cpp,274,84,59,23,22,0,168,608,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_menu.cpp,1506,991,776,256,324,41,191,1079,21,133
D:\download\tavolinux-1-5-05-p00\client\tr_menu_dim.cpp,439,340,250,82,43,24,56,345,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_srvcmd.cpp,714,510,378,125,156,12,48,285,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_tavoli_view.cpp,1086,838,676,187,191,10,57,247,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_time.cpp,171,123,96,29,28,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_tools.cpp,1220,927,718,280,235,14,58,345,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_widget.cpp,155,92,63,23,29,2,34,189,20,132
D:\download\tavolinux-1-5-05-p00\client\cmdcodicigruppi.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\cmddiritti.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\cmdlangtoken.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\cmdpaycard.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\frm_base.hpp,681,351,236,44,121,14,209,1163,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_bis.hpp,72,38,27,0,13,0,21,141,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_calcolatrice.hpp,50,18,11,1,12,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_calendario.hpp,90,51,34,2,19,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_clienti.hpp,73,40,27,1,13,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_cm.hpp,320,126,91,0,46,10,148,488,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_comanda.hpp,139,83,62,0,35,0,21,137,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_comcon.hpp,142,85,70,1,31,5,26,209,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_conto.hpp,148,92,74,2,35,1,21,144,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_main.hpp,138,86,57,0,28,1,24,151,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_ok_exit.hpp,84,42,25,1,22,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_sale.hpp,192,117,91,5,54,0,21,140,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_scelta.hpp,101,56,40,2,24,1,21,140,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_tastiera.hpp,95,54,41,0,20,0,21,139,20,132
D:\download\tavolinux-1-5-05-p00\client\frm_wait.hpp,53,23,12,0,10,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\moduli.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\money.hpp,28,4,0,0,4,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\msgs.hpp,29,6,0,0,3,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\qlabel_wrapper.hpp,163,117,62,0,22,4,24,158,24,150
D:\download\tavolinux-1-5-05-p00\client\tavolo_bits.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\tavolo_tipi.hpp,1,1,0,0,0,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\tr.hpp,754,468,334,36,198,24,88,757,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_barra_stato.hpp,136,84,61,3,30,2,22,161,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_calcolatrice.hpp,98,54,37,3,24,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_canvas.hpp,72,34,22,1,18,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_colori.hpp,53,18,10,0,15,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_comanda.hpp,250,164,146,2,58,16,28,287,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_common.hpp,312,211,129,28,59,5,42,205,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_config.hpp,507,277,263,18,123,71,107,946,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_display.hpp,140,67,27,2,35,3,38,247,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_dmacro.hpp,167,114,26,13,25,1,28,170,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_dmacro2.hpp,46,19,9,3,5,0,22,162,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_enumeratori.hpp,382,355,114,0,5,0,22,136,21,135
D:\download\tavolinux-1-5-05-p00\client\tr_forms.hpp,57,15,6,0,9,0,33,222,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_globals.hpp,115,64,34,1,30,3,21,151,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_iconviewer.hpp,61,24,17,0,17,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_input.hpp,202,133,95,9,43,0,26,154,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_label.hpp,220,120,104,1,68,13,32,313,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_lineedit.hpp,81,39,23,1,20,0,22,137,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_listview.hpp,420,259,208,15,89,30,72,669,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_mem_chk.hpp,144,34,22,0,17,4,93,399,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_menu.hpp,315,152,113,3,73,24,90,769,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_menu_dim.hpp,165,65,54,0,30,18,70,395,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_srvcmd.hpp,317,205,126,20,80,2,32,182,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_table.hpp,75,33,22,1,17,4,25,178,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_tab_widget.hpp,38,12,5,0,5,1,21,135,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_tavoli_view.hpp,356,229,181,31,101,1,26,163,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_time.hpp,89,43,31,0,25,0,21,139,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_tokens.hpp,26,3,2,0,3,0,20,132,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_tools.hpp,195,122,77,8,48,2,25,152,20,132
D:\download\tavolinux-1-5-05-p00\client\tr_widget.hpp,126,65,44,3,38,0,23,136,20,132
D:\download\tavolinux-1-5-05-p00\client\enums\genera_enumeratori.cpp,77,43,29,9,7,4,27,167,20,132
D:\download\tavolinux-1-5-05-p00\client\enums\tr_enumeratori.hpp,382,355,114,0,5,0,22,136,21,135
D:\download\tavolinux-1-5-05-p00\client\images\dir2html.cpp,25,20,13,3,5,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\client\tr_form_extract\main.cpp,304,239,187,61,40,0,25,161,20,132
D:\download\tavolinux-1-5-05-p00\pocket\frm_pocket.cpp,116,86,59,5,27,3,3,7,0,0
D:\download\tavolinux-1-5-05-p00\server\articolo.cpp,1205,691,408,72,349,9,165,844,1,8
D:\download\tavolinux-1-5-05-p00\server\barcode.cpp,326,180,101,26,97,0,49,246,2,14
D:\download\tavolinux-1-5-05-p00\server\calcola_comanda.cpp,682,340,207,58,235,1,107,637,1,8
D:\download\tavolinux-1-5-05-p00\server\camerieri.cpp,211,129,65,23,55,0,27,158,1,8
D:\download\tavolinux-1-5-05-p00\server\canale_astratto.cpp,205,116,62,20,64,0,25,118,1,1
D:\download\tavolinux-1-5-05-p00\server\canale_com.cpp,195,120,60,13,53,0,22,97,1,1
D:\download\tavolinux-1-5-05-p00\server\canale_cups.cpp,348,162,87,25,125,1,61,334,1,1
D:\download\tavolinux-1-5-05-p00\server\canale_lpt.cpp,87,46,22,9,29,0,12,57,1,1
D:\download\tavolinux-1-5-05-p00\server\canale_memoria.cpp,139,65,35,8,51,0,23,96,1,1
D:\download\tavolinux-1-5-05-p00\server\canale_tspool.cpp,221,100,58,14,78,0,43,204,1,1
D:\download\tavolinux-1-5-05-p00\server\cmdconto.cpp,2030,1067,571,176,618,5,345,2293,1,8
D:\download\tavolinux-1-5-05-p00\server\cmddocumenti.cpp,2595,1424,874,348,773,15,398,2257,1,9
D:\download\tavolinux-1-5-05-p00\server\cmdescdisplay.cpp,118,94,49,13,21,0,3,19,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdgruppostampanti.cpp,1053,711,326,74,231,2,111,595,2,15
D:\download\tavolinux-1-5-05-p00\server\cmdlogg.cpp,114,60,26,15,36,0,18,78,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdnetmsg.cpp,201,104,56,18,60,0,37,124,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdobjectcontainer.cpp,90,53,28,9,22,0,15,122,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdprtescpos.cpp,937,576,283,48,254,9,107,486,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdstampanti.cpp,523,308,191,36,142,0,73,341,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdtools.cpp,290,149,82,36,88,0,53,278,1,8
D:\download\tavolinux-1-5-05-p00\server\comanda.cpp,1964,995,622,191,643,5,326,1896,1,8
D:\download\tavolinux-1-5-05-p00\server\comanda_stampa.cpp,1098,531,316,81,381,3,186,1242,1,8
D:\download\tavolinux-1-5-05-p00\server\comanda_tavolo.cpp,732,333,187,54,245,0,154,932,1,8
D:\download\tavolinux-1-5-05-p00\server\commsrv.cpp,249,158,86,23,68,0,23,91,0,0
D:\download\tavolinux-1-5-05-p00\server\compatta_comanda.cpp,485,274,142,36,144,0,67,390,1,8
D:\download\tavolinux-1-5-05-p00\server\dbtools.cpp,4347,2461,1345,398,1237,11,649,3037,1,8
D:\download\tavolinux-1-5-05-p00\server\dbtools_barcodes.cpp,140,89,54,16,35,0,16,106,1,10
D:\download\tavolinux-1-5-05-p00\server\dbtools_elenchi.cpp,2172,1331,535,175,548,13,293,1014,1,8
D:\download\tavolinux-1-5-05-p00\server\dbtools_fixdb.cpp,879,591,357,89,215,1,73,382,1,1
D:\download\tavolinux-1-5-05-p00\server\dbtools_menu.cpp,434,241,103,25,126,0,67,360,1,1
D:\download\tavolinux-1-5-05-p00\server\dbtools_prenotazioni.cpp,561,337,180,41,155,4,69,357,1,8
D:\download\tavolinux-1-5-05-p00\server\dbtools_ricettario.cpp,3316,2123,993,292,786,34,407,1879,1,1
D:\download\tavolinux-1-5-05-p00\server\dbtools_saletavoli.cpp,1531,966,527,150,378,2,187,742,1,1
D:\download\tavolinux-1-5-05-p00\server\ditron.cpp,460,260,109,33,139,2,61,390,1,8
D:\download\tavolinux-1-5-05-p00\server\epsonescp2.cpp,82,51,20,6,24,1,7,33,1,8
D:\download\tavolinux-1-5-05-p00\server\epsonfp.cpp,658,358,161,50,209,2,91,444,1,8
D:\download\tavolinux-1-5-05-p00\server\eval_formule.cpp,1815,1034,644,217,533,17,248,1617,1,8
D:\download\tavolinux-1-5-05-p00\server\formule.cpp,153,91,51,14,43,1,19,108,1,8
D:\download\tavolinux-1-5-05-p00\server\kube.cpp,492,259,115,38,156,0,77,473,1,8
D:\download\tavolinux-1-5-05-p00\server\linguaggio.cpp,7448,4456,2384,779,2048,9,944,4547,1,8
D:\download\tavolinux-1-5-05-p00\server\main.cpp,915,499,290,73,275,4,141,705,1,8
D:\download\tavolinux-1-5-05-p00\server\omega.cpp,377,204,96,31,121,1,52,315,1,8
D:\download\tavolinux-1-5-05-p00\server\operatori.cpp,408,219,116,33,132,5,57,362,1,8
D:\download\tavolinux-1-5-05-p00\server\orderman_belt_printer.cpp,181,100,62,8,56,10,25,153,1,1
D:\download\tavolinux-1-5-05-p00\server\posnet.cpp,471,271,128,35,143,1,57,302,0,0
D:\download\tavolinux-1-5-05-p00\server\posnetgood.cpp,470,267,126,34,146,1,57,302,0,0
D:\download\tavolinux-1-5-05-p00\server\postscript.cpp,964,606,241,25,242,2,116,423,1,1
D:\download\tavolinux-1-5-05-p00\server\prenotazioni.cpp,441,250,158,31,124,3,67,323,0,0
D:\download\tavolinux-1-5-05-p00\server\roamstat.cpp,437,219,117,41,155,1,63,241,0,0
D:\download\tavolinux-1-5-05-p00\server\sarema.cpp,483,254,110,37,152,0,77,471,1,8
D:\download\tavolinux-1-5-05-p00\server\sweda.cpp,504,266,113,37,160,0,78,475,1,8
D:\download\tavolinux-1-5-05-p00\server\tavolo.cpp,2750,1461,897,223,852,7,437,2348,1,8
D:\download\tavolinux-1-5-05-p00\server\terminali.cpp,165,101,49,15,43,0,21,77,1,8
D:\download\tavolinux-1-5-05-p00\server\totali_2.cpp,2332,1263,629,148,738,4,331,1539,1,8
D:\download\tavolinux-1-5-05-p00\server\zephyr.cpp,500,277,116,39,163,0,60,351,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdnetmsg.h,193,127,74,8,50,0,16,75,1,12
D:\download\tavolinux-1-5-05-p00\server\money.h,8,4,0,0,4,0,0,0,0,0
D:\download\tavolinux-1-5-05-p00\server\barcode.hpp,91,50,25,3,29,0,12,64,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdcaches.hpp,170,98,50,12,54,0,18,89,1,3
D:\download\tavolinux-1-5-05-p00\server\cmdcameriere.hpp,110,51,29,3,46,0,13,78,1,6
D:\download\tavolinux-1-5-05-p00\server\cmdcanale.hpp,385,174,105,0,142,0,69,286,2,18
D:\download\tavolinux-1-5-05-p00\server\cmdchiusure.hpp,17,8,2,0,7,0,2,13,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdcodicigruppi.hpp,66,29,0,0,23,24,14,186,1,6
D:\download\tavolinux-1-5-05-p00\server\cmdcomande.hpp,1440,830,601,95,456,17,154,927,1,6
D:\download\tavolinux-1-5-05-p00\server\cmdcomp.hpp,37,19,10,0,16,0,2,14,1,8
D:\download\tavolinux-1-5-05-p00\server\cmdconto.hpp,639,334,205,45,205,0,100,499,1,10
D:\download\tavolinux-1-5-05-p00\server\cmdconto_flags.hpp,11,4,0,0,5,0,2,11,0,0
D:\download\tavolinux-1-5-05-p00\server\cmddiritti.hpp,130,104,4,0,20,5,6,52,0,0
D:\download\tavolinux-1-5-05-p00\server\cmddocautomatici.hpp,100,52,25,5,36,0,12,43,0,0
