File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::frm_base( QWidget*parent, const char*name, bool modal, WFlags fl )",20,14,12,3,6,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::costruttore_comune( QWidget*parent ),124,89,85,3,34,6,1,29,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::add_base(),14,14,14,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::init(),3,3,3,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::~frm_base(),10,8,7,2,2,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::exec(),3,3,3,1,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::base_alza(),13,12,11,2,1,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::pulsantiera_alza(),6,6,6,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::stato_pulsanti(),1,1,1,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::pulsanti( QString nomi, bool verticale, tr_label**ws[], TRDiritti::TRDirittiUtente diritti[], bool hide )",130,102,82,24,28,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::iniz_area( int righe, int colonne, int margine, int spazio )",2,2,2,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::center(),9,9,7,2,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::hide(),22,14,10,3,8,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::show(),37,28,21,9,9,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::nascondi_stato(),3,3,3,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::scopri_stato(),3,3,3,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::nascondi_titolo(),3,3,3,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::scopri_titolo(),3,3,3,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,frm_base::adatta_stato(),2,2,2,0,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::build( QWidget*ws[], int margine, int spazio, bool dim_fissa )",79,63,47,19,16,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::setMinMax( int min_x, int min_y, int max_x, int max_y )",10,10,9,5,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::scopri( tr_widget*w1, tr_widget*w2, tr_widget*w3, tr_widget*w4, tr_widget*w5, tr_widget*w6, tr_widget*w7, tr_widget*w8, tr_widget*w9, tr_widget*w10 )",5,5,5,2,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::nascondi( tr_widget*w1, tr_widget*w2, tr_widget*w3, tr_widget*w4, tr_widget*w5, tr_widget*w6, tr_widget*w7, tr_widget*w8, tr_widget*w9, tr_widget*w10 )",5,5,5,2,0,0,0,0,
D:\download\tavolinux-1-5-05-p00\client\frm_base.cpp,"frm_base::abilita( tr_widget*w1, tr_widget*w2, tr_widget*w3, tr_widget*w4, tr_widget*w5, tr_widget*w6, tr_widget*w7, tr_widget*w8, tr_widget*w9, tr_widget*w10, tr_widget*w11 )",3,3,4,0,0,0,0,0,
